RefID, ClusterID
A906820, A906820, YSELA SAIZ 12056 TERRA CIRC FOREY TEXAS 75126 PO BOX 21 FORNEY TX 75126 023 88 7230
A906829, A906829, BETHANY M EVELETH 209 DEL TORO DRIV LADY LAKE FL 32159 PO BOX 1615 LADY LAKE FL 32158 21771983
A906845, A906845, PAUL I HORACE 2790 CIBOLA AV COSTA MESA CALIFORNIA 9626 24794774
A906864, A906864, KYLE M LEWIS 1604 CALLE DEL PASE IRWINDALE CA 91706 024 75 0609
A906879, A906879, RICK E HENSLEY 11819 CENTRAL AVE APT T308 CHNO CA 91710 204 47 1256
A906900, A906900, MARIA L DAVIDSO 9708 WALNUT STP OAKLAND CALI 94603 15723
A906926, A906926, BRENDA B KRIEGER 16044 DEVONSHIRE ST GRANADA HILLS CA N91344 24348689
A906940, A906940, CNOCEPCION A SORIANO 121 ESKOTAST MABANK TX 75156 26119889
A906942, A906942, CYNTHIA C S 401 N HARBOR LIGHTS DR PONTE VEDRA FL 32081 201 97 9395
A907042, A907042, RICARDO S JACKSON 1387 FOUR SEASONS BOULEVARD 89 TAMPA FL 33613 023 25 6707
A907131, A907131, KEVIN A TAYLOR 255 WALKER STR CENTER TX 75935 24073506 1920
A907164, A907164, S F KOBZEFF 653 S ESPLANADE ST ORANGE CALI 92869 025 56 0419
A907235, A907235, JESSE A JONES 1915 CR 406 NEMO TX 76070 62916805
A907237, A907237, TORY L THOMAS 1515 WEBSTER ST SAN ANGELO TEXAS 76901 25328176
A907249, A907249, SUSNA T JACBOSON 1214 QUAIL CIR CEDAR PARK TEXAS 78613 022 15 4708 11794
A907263, A907263, ABMER W PRENTICE 370 W 6TH ST PERRIS CA 92570 24963381
A907284, A907284, JAMIANNE M BELL 652M9 PUTTING GREEN DR DALLAS TX75232 25617623
A907296, A907296, DONNA S TOBA 91 DEMPSEY RD MILPITHAS CA 95035 PO BOX 360338 MILPITAS CA 9506 024 56 7354
A907336, A907336, P V FLOERS 9738 HELEN AVE SUNLAND CALIF 91040P 25400116
A907355, A907355, BRENDA B KRIEGER 1256 3RD AVE APT 18 CHULA VISTA CA 1911 024 38 4689
A907384, A907384, VONNIE S GRAY 2830 SAN DIEGO PLZ JACKSONVILLE FL 32207 PO BOXY 5314 JACKSONVILLE FLA 32247 22253749 1976
A907424, A907424, ELLEN C ROBERTS 1917 RODNEY DR APT 212 LOS AGELES CA 90027 POST OFFICE BOX 881605 LOS ANGELES CA 90009 022 07 6398
A907499, A907499, ASLHEY S W 7729 ASHFORD CT N SAINT PETERSBURG FLA 33709 PO BOX 15632 SAINT PETERSBUROG FLA 33733 023 14 1981
A907505, A907505, BARBARA A COOK 1717 ORIOLE STR SAN DIEGO CA 92114
A907561, A907561, JESSICA A JONES 7019 WINNETKAAV WINNETKA CA 91306
A907641, A907641, LEENA VANDYKE 830 S AZUSA AVEN TRLR 10 AZFUSA CALIF 91702 24648691
A907656, A907656, THOMAS L POUNDIS 1276 WAVERTON LN LINCOLN CA 95648
A907671, A907671, WILMA G PUNO 2130 W CRESCENT AVE APT 1098 ANAHEIM CALIF 92801 022 58 8987
A907771, A907771, PATRICIA J THAYER 44348 42ND ST W LANCASTER CA 93536 22603777
A907782, A907782, RICARDO N ROBERTS 1601 REGENT DRIV BRENTWOOD CALIFORNIA 94513 PO BOX 1690 BRENTWOOD CA 94513
A907840, A907840, JASON FLORSE 3039 PINE VALLEY RD SAN RAMON CALI 94583 OBUZON 2606 SAN RAMON CA 94583
A907898, A907898, AMBER W PRENTICE 1282 MATTOX RD APT 45 HAYWARD CA 94541 PST 55582 HAYWARD CALIF 94545
A908026, A908026, LAURYN L SINCLAIR 1640 SOPHIEP LANE ESCADLON CA 95320 024 44 7556
A908041, A908041, J W KINDELL 45761 CAMINO BRUBI TEMECULA CA 92592 202810696
A908180, A908180, MACARIO C CRUZ 95A10 HARVARD STREET BELLFLOWER CA 90706 PO BOX 1100 BELLFLOWER CALIFORNIA 90707 23072005
A908205, A908205, GINA D RUSSELL 3605 HIGHWAY 90T W POCAHONTAS ARKAN 72455 PO BOX 674 POCAHONAS ARKANSAS 72455
A908231, A908231, JOSH SLANDZICKI 2207 WYNDAM WAY KISSIMMEE FLORIDA 34743 022 20 2042
A908266, A908266, E B C 88K4 CORAL REEF WAY PONTE VEDRA FL 32082 22431847
A908280, A908280, BRADNT A CALOV 241 WEVER TRAIL JESSIEVILE ARKANSAS 71949
A908334, A908334, ANTHONY A MATRENS 521 COCHRAN AVEN SAN DIEGTO CA 92154 202100234
A908374, A908374, ALBERTO MALKIEWICZ 6237 GRANT ST CHINO CALIF 91710 027 11 1734 1957
A908396, A908396, FRED S F 28164 HORIZON CT ROMOLAND CA 92585
A908425, A908425, TED J DICK 2521 MLINO RD MOLINO FL 2577 21402494
A908429, A908429, LEBEKA D WILLIASM 1134 DODGE AVE OROVILLE CA 95965
A908482, A908482, LANH K HART 12L394 PASEO CORTO CIR EL PASO TX 79928 APTDO 27096 EL PASO TX 79926 21609352
A908528, A908528, KADESHRA R GALLEGOS 12603 WOODFOREST BLVD APT 913 HOUSATON TX 77015 24275742
A908576, A908576, ANASTASIA J BISHOP 1521 N WILTON PL APT 6 LOS ANGELES CA 90028 APARTADO 881605 LOS ANGELES CALIF 900D09 28141
A908627, A908627, D HARRELSON 13230 NE 34TH TER GAINESVILLE FL 32609 PO BOX 607 GAINESVILE FLA 32602
A908642, A908642, JASON R CHAVEZ 2242 SW IMPORT DR PORT SAINT LUCIE FLA 34953 25146663
A908643, A908643, EDWADRO B CHRISTIAN 884 CORAL REEF WY PONTE VEDRA FL 32082 022 43 1487
A908653, A908653, PATRICK B ARNOLD 2049 SANTA CRUZ AVE MVENLO PARK CA 94025 025 40 9434 40025
A908662, A908662, MELISSA T HICKS 4346 HAMMEL ST LOS ANGELEJS CA 90022 24515296
A908670, A908670, ARMANDO CANTLOW 13340 MERCER STREET PACOIMA CALIFORLNIA 91331 22382055 1900
A908704, A908704, WILL I DAVIS 20131 COLORADO RD EL MIRAGE CALIF 92301 026 62 3839
A908732, A908732, WILMA M GILLIAM 340 NORTHWEST 48TH AV APT 511 LAUDERDALE LAKES FL 33319 23828662
A908757, A908757, TONY C MCNEILL 4021 BANCROFT DR HOLIDAY FL 34691 26474810
A908818, A908818, KARLA OLR 19895 SILVERWOOD DRMV LAKE ELSINORE CALI 92530 PO BX 1228 LAKE ELSINORE CA 92531 19440806
A908835, A908835, BRADY T MARES 9896 BEN NEVIS BLVD APT 11 RIVERSIDE CALIF 9209 24206
A908884, A908884, MARIA K KRAUS 235 STARFIH DR VLLEJO CA 94591 25759178
A909014, A909014, DAVID W JERDAN 2028 IBAYOU DR NAVARRE FL 32566 42774
A909028, A909028, GARY E ESTRADA GOMEZ 15040 SILVERSMITHN CRCLE SPRING HILL KFLA 34609 BOX3353 SPRING HILL FL 34611 15386
A909129, A909129, M H KOJABABIAN 23136 GSAMUEL STR APT 117 TORRANCE CA 90505 PO BOXQ 268 TORRANCE SCA 90507 23011789
A909151, A909151, IRMA H SALEH 7361 BOLTEN LN PORT CHARLOTTE FL 33981 27167247
A909165, A909165, L BOMMARITO 1123 SE 5TH AVE ARCADIA FL 34266 PO BOX 3045 ARCADIA FLA 3265 023 21 5205 11176
A909177, A909177, A M HARRISON 4127 GLEASONST LOS ANGELES CA 90063
A909194, A909194, TOMMY ARIZA 20321 WSTPOINT DRIVE RIVERSIDE CALI 2507 023 78 9893
A909199, A909199, A GOSSET 9137 85T AVE NO LARGO FL 33777 22015609
A909202, A909202, JANICE M WALTON 6323 HEATHERS BND SA ANTONIO TEXAS 78227 202 55 1375
A909242, A909242, BOBBY BEN FALL 123 MIRABEAU AVE SAN PEDRO CA 90732 26841318 1964
A909295, A909295, WILLIAM VILLARREAL 20681 XOLEANDER AVENIDA PERRIS JCA 92570 25317183 1903
A909296, A909296, ETHELE L MARBLE 3773 RIPPLE CREEK DR DALLA TEXAS 75224 PO PBOX 810892 DALLAS STEXAS 75381 23031960
A909316, A909316, MARCUS Y TAO 2001 BRINSON RD UNIT 27 LUTZ FLA 3358 26558839 36526
A909342, A909342, NORTHINGTON H CLARKE 3917 DEL REY DR SAN BERNARDINO CA 92404
A909370, A909370, ROSEMARY F PHILLIPP 14625 S CASTLEGATE AVE COMPTON CA 90221 OFFIE BOX 5124 COMPTN CALI 90224 26206258
A909466, A909466, WILLIE S GILBERT 3276 HIGHWAY 160A BONIFAY WFL 32425 25385907
A909471, A909471, BRIAN M WRIGHT 8555 KYLE QSTREET SUNLAND CA 91040 021 53 9204
A909608, A909608, G RODRIGUEZ 2301 NE 35TH ST CAPE CORAL FL 33909 37309
A909629, A909629, JOES E TOFFT 931 HILL MEADOW DRIV MIDLOTHIAN T 76065 27131114 12966
A909635, A909635, LEBEKA D WILLIAMS 1134 DODGE AVE OROVILLE CA 95965 203 92 0858 26111
A909663, A909663, MARIAH ZATARAIN 2012 PHILLIPPI STREET SAN FERNANDO CA 91340
A909666, A909666, FRANCISCO WEAVER 6590 ELMHURST DRV TUJUNGA CALIF 91042 PO BOLX 96 TUJUNGA CA 91043 024 14 9595
A909680, A909680, VALERIE A GUY 7395 EDENFIELD PARK RD JACKSONVILLE FL 32244 FFICE BOX 5314 JACKSONVILLE FL 32247 26134977
A909692, A909692, ANNIE JACKSON 3979 LONG GROVE LN PORT ORANGE FL 321L29 YBOX 1162 PORT ORANGE FL 32129 026 47 4942 13415
A909768, A909768, SONIA G DEGUZMAN 3837 BANDERA RANCH RAD ROANOKE TX 76262 24279712
A909854, A909854, SANDRA R RALSTON 1501 NE 191KST ST APT C305 NORTH MIAMI BEACH FL 33179 25221415
A909864, A909864, ERNESTINE NKELE 130 CODY CT UPLAND CALIF 9178 PO BX 671 UPLAND CA 91785 32963910
A909873, A909873, M Y KELLEY 5178 NW RUGBY DR PORT SAINT LUCIE FL 34983 PO BOX 8433 PORT SAINT LUCIE FL 34985 26685998
A909896, A909896, JOSE E TOFFT 931 HILL MEADOW DR MIDLOTHIAN TX 76065 27131114
A909904, A909904, JASON C GUY 14057 LIVINGSTON MDW 22 GARDEN GROVE CALIF 92844 026 15 2974
A909924, A909924, KANESHA J MORALES 7260 N FRUIT AVNUE FRESNO A 93711 BUZON 5991 FRESNO CA 93755 22063275
A909927, A909927, FRANCINE J HUSSPAIN 14668 ILDWOOD DRIVE LARGO FL 33774 21370191 1915
A909989, A909989, FRANCISCO FAKHOUR 1226 NORTH CREEKSIZDE DRIV CHULA VISTA CA 91915 23777136 1980
A909994, A909994, STACY J BISHOP 7044 MEADOWRDG CORONA CA 92880 203 81 8812 1977
A910004, A910004, IRENE GARY 12438 JASMINE BROOK LN HOUSTON TX 77089 24147180 25581
A910008, A910008, ROBERT D MLAAE 4465 NORMANDIE PL LA MESA CALI 91941 023 81 7904 1946
A910025, A910025, E V CRAIG 1690 E FIR AVE APT 212 FRESNO CA 9720 023 18 4656
A910059, A910059, G ELLIOTT 802 E DAVENPORT ST STAMFORD D TEXAS 79553 26817924
A910060, A910060, H MADARANG 14721 BONAIRE BOUL APT 1A06 DELRAY BEACH FL 33446 23623638
A910126, A910126, JORGE AMEREAN 777 WALKERBILT RD LOT 3 NAPLES FL 34110
A910195, A910195, M G HABTE 5800 OWENSMOUTH AVE APT 18 WOODLAND HILLS CA 91367 19267
A910229, A910229, JOSEPH D GONZALEZ 10182 COUNTY ROAD 213 FORUNEY TX 75126 PO BOX 2 FORNEY TEXAS 75H126 26523214
A910240, A910240, MARIAH L PEEK 2107 WHEATFIELD CIR WILDOMAR CA 92595 15723
A910260, A910260, CHARLENE A PAZZI 2311 HICKORY PINSE STRT ORLANDO FLAS 32817 026 07 0201 1920
A910303, A910303, PATRICIA J MCCARTHY 2020 CR 3C673 QUEEN CITY TX 75572 22492433 44058
A910354, A910354, MITCHELL C LOPEZ CASTILLO R2697 W 73RD PL HIALEAH FL 33016 25825325
A910414, A910414, MANNY MULLIS 111 E1ST ST APT 43 JACKSONVILLE FL 32206 POST OFFICE 5E314 JACKSONVILLE FLORIDA 32247 12203
A910463, A910463, JANA C LOPEZ 4161 TIM ST BONITA CALI 91902 PO BOX 904 BOITA CA 91908 023 10 5905
A910561, A910561, WALTER E GARRISON 6304 LAKE PLANTATION DR JACKSONVILLE FL 32244 21688429 20697
A910577, A910577, CECILIA GRERE 12418 SCHOONER BEACH DRIVE BAKERSFIELD CA 93311 22524764
A910604, A910604, L E PADGETT 248 SE 45TH ST CAPE CORAL FL 33904 24645927 1924
A910692, A910692, LORTETA J GIROUARD 14150 HAYES ST VAN NPUYS CA 91401 26325511
A910716, A910716, M SUGUIMIZU 17703 WHEAT FIELD ST LATHGROP CA 95330 26984558
A910769, A910769, J KEGLER 2554 SOUTHWEST 118TH LN BLDG 21 MIRAMAR FL H33025 021 37 0119
A910815, A910815, GARY E ESTRADA GOMEZ 627 LASSEN CT TULARE CALIF 93274 APTTDO 1276 TULARE CA 93275
A910852, A910852, ROGRE MADRID 1147 RAINTWOOD CIR W PALM BEACH GARDENS FL 33410 023 22 6182
A910921, A910921, LAURIE L SINCLAIR 1640SOPHIE LANE ESCALON A 95320 024 44 7565
A910936, A910936, KEVIN A TAYOLR 255WALKER ST CENTER TEXAS 75935 024 07 3506 44045
A910960, A910960, MARINA D STEWIART 109 TWILIGHT BAY DRIV PANAMA CITY BEACH FL 32407 022 46 8936
A910964, A910964, TOMMY ARIZA 20321 WESTPOTINT DRV RIVERSIDE A 92507
A911006, A911006, DANE S DOZIER 2301 TURNER ROAD CERES CA 95307 42027258
A911037, A911037, STEVEN J ODOM 2090 WELDON LN BAY POINT CA 94565 026 39 0936
A911113, A911113, M D FREEMAN 321 FORDHAM AVE BIG SPRING TX 79720 24867344
A911120, A911120, SHELLEY S RIHCARDS 3307 SINDLETOP CT MANVEL TX 77578 25996446
A911153, A911153, DAIVD B SKELTON 61 LAUREL AVE SAN ANSELMO CA 94960 23138495 19231
A911166, A911166, ELLIE M BELOTE 4303 MASTERS DR LEAGUE CITY TX 77573 026 48 7013
A911180, A911180, S WARSING 100 LEEMAR PL HOT SPRINGS NATIONAL PARK AR 71901 26109309
A911202, A911202, GREG P C 238 11TH ST RIVERSIDE CA 92507
A911262, A911262, IRMA H ASLEH 1301K PINETTA CIRCULO WELLINGTON FL 33414
A911271, A911271, NILESH F MCKELVEY 1318 PORTSMOUTH T OAKLEY CA 9456W1 PO BOX 1P112 OAKLEY CALIFORNIA 94561 14202
A911306, A911306, BARBARA A COLLINS 1849 BAYWOOD DR APT 05 CORONA CA 92881 PO BOX 77501 CORONA CA 92877 23566960 19700628
A911354, A911354, ELAINE GARCIA 7360 NW 18TH ST 37 107 MARGATE FL 33063
A911367, A911367, RANDAL R HALL 5423 KLEBERG DRV GRAND PRAIRIE TX 75052 CALLER Y543301 GRAND PRAIRIE TX 75054 22267805
A911368, A911368, RUTH D MARTINEZ 28936 OAK HILL LN HIGHLAND CA 92346 205542023
A911385, A911385, EDWARD J DICK 2521 MOLINO RD MOLRINO FLA 32577 21402494
A911420, A911420, RENEE M CATORA 1827 XIMENO AVENUE 133 CLONG BEACH CA 90815 023 34 7907
A911473, A911473, NANCY E CARPENTER 21672 WINDAM RUN ESTEROX FL 33928 027 01 2011
A911498, A911498, TONY A MARTENS 31532 VINTNERS POINTE CT WINCHESTER CA 92596 22100234
A911504, A911504, ANTHONY HUERTA 13551 SW 256TH ST HOMESTEAD FL 33032 024 63 1642
A911526, A911526, JORGE AMEREAN 118 COLGATE AVE SANANTONIO TX 78228 POST OFFICE 690362 SAN ANTONIO TX 78269 22477845
A911537, A911537, RANDALL M HERNANDEZ 25301 BOWIE CT STEVENSON RANCH CALI 91381 25930462
A911548, A911548, MARTHA M RAMIREZ 6818 DORIANA ST APTV 120 SAN DIEGO CA 92139 23665642
A911612, A911612, DENNIS URANO 29972 GRANGER PL CASTAIC CA 91384
A911645, A911645, OLAJIDE GLODSTON X2160 KELLY ST HAYWARD CA 94541 029 36 2132 1936
A911648, A911648, ROBERT BEN FALL 1693 RODEAR RD SAN DIEGO CALIFORNIA 92154 026 84 1318
A911662, A911662, XUANDAO ATIENZA 1026 BIRCH AV WASCO CA 93280 24611071
A911688, A911688, DANIEL BROWN 73265 ROD LAVER LN PALM DESERT CA 92260 022 96 1888
A911730, A911730, ROBERT EMMITT WOODARD 17341 REDMAPLE ST FONTANA CA 92337 21976174
A911757, A911757, BLANCA ARTENSTEIN 1004 KIMBRO DR FORNEY TX 75126
A911772, A911772, HELEN C ROBERTS 23012 OXFORD PL BOCA RATON FL 3333
A911817, A911817, MICHAEL S LAKNDOW 1852 BANBRURY RD JACKSONVILLE FLA 32211 22984160
A911844, A911844, CLARA R BROWN 1823 RANCO LOMAS WY SAN MIGUEL CA 9341
A911943, A911943, M CARLOW 967 W 4TH ST POMONA CA 91766 41911
A911959, A911959, WENDY B WALTON 10386 MILLS TOWER DR RANCHO CORDOVA CA 95670
A911968, A911968, ANDREW D ROBINSON 4135 ANATOLIA DRIVE RANCHO CORDOVA CA 95742 203 74 7388 1949
A911973, A911973, F REDDISH 8440V JORDAN ST SAN QDIEGO CA 92123 024 50 8033
A911988, A911988, ELIZABETH M M 3910 W BEECHWOOD AVE APT 133 FRESNOS CALI 93711 25185760 1900
A911998, A911998, ROGRE MADRID 1147 RAINWOOD CIR W PALM BEACH GARDENS FLA 33410 22326182
A912134, A912134, MARIA A HARVE 161 LAWNVIEW CIR DANVILLE CALI 94526 25480112 1954
A912144, A912144, EDDIE A DAVIDSON 9708 WALNUT STRR OAKLAND CA 94603 26223176
A912151, A912151, AMRYANN K CORBIN 2929 PEGASUS DR GARLAND T TEXAS 75044 1910
A912159, A912159, AMEY N REYNOLDS 403A DARDEN HILL RD DRIFTWOOD TX 78619 022 30 2259 22845
A912161, A912161, DAVY T LE 11268 JOSHUA CT FONTANA CA 92337 PO BOX 2600 FONTANA CA 92334 23052187
A912186, A912186, ANGELA BULBUL 20475 BISCAYNE BLVD G13 AVENTURA FL 33180
A912203, A912203, BRENT G WINSTEAD 12568 10TH STRT APT J CHINO KCA 91710 WPOST 1211 CHINO CA 91708
A912235, A912235, KENNETH NAVA 12135 NW 21ST PL MIAMI FL 33167 PO OX 430115 MWIAMI FLA 33243 26876926
A912279, A912279, J A AGRED 8608 GOLDFINCH DR BAKERSFIELD CA 93312 022 54 0139
A912344, A912344, EDDIE A DAVIDSON 9915 TOYO AVNUE FONTANA CA 92335 PO BOX 2600 FONTANA CALIFORNIA 92334
A912356, A912356, RONNIE M WAIBEL 17915 LOOKOUT LAKE CKIR FLINT TX 75762
A912438, A912438, NICOLSA K PARTICK 11030 BACALL ROAD W JACKSONVILLE FL 32218 22410669
A912451, A912451, SHELLIE ZALDIVAR 3937 NW 29TH LN GAINESVILLE FL 32606 22794179
A912470, A912470, SEAN R SHANZ 1169 MADISON CHAE APT 8 ROYAL PALM BEACH FL 33411
A912507, A912507, ALFONCINA E WALTERS 12272 WARBLER AVE GRAND TERRACE CA 92313 26267471
A912529, A912529, CLARA R VETURA 1823 RANCHO LOMAS WAY SAN MIGUEL CA 93451
A912539, A912539, BRENDA B KRIEGER 9896 EBEN NEVIS BLVD APT 11 RIVERSIDE CA 92509 24384689
A912561, A912561, L ROBINSON 913 SANFORD DR BAKERSFIELD CALI 93308 PO BOX 6010X3 BAKERSFIELD CA 93386
A912593, A912593, B A CALOV 3254 SW 57TH CT MIAMI FL 33155 PO BOX 430N115 MIAMI FL 33243
A912624, A912624, ROBERT D CEBALLOS 1132 NORTHWEST P89TH TERR PEMBROKE PINES FLA 33024 PO BOX 245441 PEMBROKE PINES FL 33024 25536496 19161224
A912670, A912670, MARY AGUILERA 1219 GLENN AVE MODESTO CA 95358 PO BOX 582052 MODESTO CA 95358 021 44 7688 1909
A912703, A912703, SUSANNAH T JACOBSON 7803 WRRIOR AVE SAN ANGELO TX 76904
A912741, A912741, TESS A 4949 EAST STATE ROAD 64 309 BRADENTN FLA 34208 21510965
A912789, A912789, R M BRACKLE 1250 WRIGHT DR BLOSSOM TX 75416 22345095 28465
A912796, A912796, ESTHER J MELANCON 822 SEYMOUR WAY PERRIS CA 92571 11141
A912864, A912864, BRADCLEY 1533 CANTERBURY CIR REDLANDS CA 92374 POS 1166 REDLANDS CA 92373 22480634
A912885, A912885, JASON R CHAVEZ 13054 STAFFORDSHIRE SDR S JAKSONVILLE FL 32225 25146663
A912900, A912900, DUAEN VLENTINE 2000 CLUB VIEW CIR CORINTH TEXAS 76210 023 31 2708 19350722
A912919, A912919, PAMELA FLORS 25770 VISTA FAIRWAYS DRV VALENCIA CA 91355 23036428 1972
A912953, A912953, DORIS MENDEZ 1411CANON YEOMANS TRL AUSTIN TX 78748 025 20 9955
A913011, A913011, ANGEL G RODRIGUEZ 380 ORLANDO BLVD PORT CHARLOTTE FL 33954 BOX 494163 PORT CHARLOTTE FLA 33949 23400736
A913033, A913033, ROGER L DALLAS 5306 HARMONY PL KISSIMMEE FL 34758 024 87 5093
A913076, A913076, SANDOVAL 16992 HINTON CT CASTRO VALLEY CA 94546 PO BOX 20554 CASTRO VALLEY CA 94546 21784886
A913118, A913118, TINA DICKS 6025 DEIAS AVE SPC 57 SACRAMENTO CALI 95824 23963910 1976
A913178, A913178, MARCELUS V STEVENS 676THOMPSON ROAD SAN ELIZARIO TX 79849
A913293, A913293, RANDLAL M HERNANDEZ 7526 KILGARRY AVE PICO RIVERA CA 90660 25903462 1932
A913315, A913315, BARBARA L LANTRIP 6114 RANIER DR ORLANDO FL 32810 25576915
A913342, A913342, JERRY A WASHINGTON 564 S 36TH ST GREENACRES FL 33463 23223572
A913345, A913345, DAVID W JERDAN 17750 SW 154TH ST MIAMI FL 33187 32615043
A913353, A913353, CRAIG J KELLER 2327 SANSTONE COURT PALM DALE CA 93551 22742200
A913358, A913358, ALLY PERALTA 14967 CELRRITOS PL FONANA CA 92336 025 28 8749 40436
